City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,Timbuktu,16.7735,-3.0074,95.13,10,100,9.66,ML,2023-05-10 19:33:06
242,Las Heras,-46.5419,-68.9359,48.38,77,100,15.99,AR,2023-05-10 19:30:42
243,Upata,8.0086,-62.3989,93.63,31,99,9.55,VE,2023-05-10 19:28:44
244,San Luis De La Loma,17.2706,-100.8939,89.89,52,8,13.47,MX,2023-05-10 19:33:06
245,Ikang,4.7898,8.5316,80.28,86,100,4.47,NG,2023-05-10 19:33:07
246,Tortoli,39.9256,9.6572,67.82,34,0,16.11,IT,2023-05-10 19:33:07
247,Talara,-4.5772,-81.2719,88.56,62,40,16.11,PE,2023-05-10 19:33:07
248,Mount Gambier,-37.8333,140.7667,44.71,93,0,6.22,AU,2023-05-10 19:33:07
249,Gimcheon,36.1218,128.1198,49.32,87,0,2.3,KR,2023-05-10 19:33:07
250,Nouadhibou,20.931,-17.0347,66.18,88,25,14.97,MR,2023-05-10 19:33:08
251,Tayshet,55.9342,98.0044,31.8,63,2,5.08,RU,2023-05-10 19:33:08
252,Bijni,26.4959,90.703,74.17,38,0,4.14,IN,2023-05-10 19:33:08
253,Weatherford,32.7593,-97.7972,71.47,89,100,7.63,US,2023-05-10 19:33:08
254,Ebon,4.582,168.6964,83.52,79,100,14.16,MH,2023-05-10 19:33:09
255,Veraval,20.9,70.3667,86.5,49,29,11.07,IN,2023-05-10 19:33:09
256,Sao Jose Da Coroa Grande,-8.8978,-35.1478,79.38,80,18,6.2,BR,2023-05-10 19:33:09
257,Paradip Garh,20.3167,86.6167,82.31,82,44,11.52,IN,2023-05-10 19:33:09
258,Anshun,26.25,105.9333,54.64,94,100,6.44,CN,2023-05-10 19:33:09
259,Saint-Philippe,-21.3585,55.7679,72.99,81,72,13.69,RE,2023-05-10 19:33:10
260,Maceio,-9.6658,-35.7353,85.44,70,20,11.5,BR,2023-05-10 19:33:10
261,Puerto Carreno,6.189,-67.4859,84.18,79,75,4.61,CO,2023-05-10 19:33:10
262,Keflavik,64.0049,-22.5624,48.11,87,75,6.91,IS,2023-05-10 19:33:10
263,Altai,46.3722,96.2583,38.77,62,99,5.95,MN,2023-05-10 19:33:10
264,Vernon,50.2581,-119.2691,69.6,50,15,3.44,CA,2023-05-10 19:31:48
265,Kristiansund,63.1115,7.732,51.85,87,75,2.3,NO,2023-05-10 19:33:11
266,Kismayo,-0.3582,42.5454,79.74,82,30,11.3,SO,2023-05-10 19:33:11
267,Yuzhno-Kurilsk,44.0306,145.8556,38.25,91,18,11.36,RU,2023-05-10 19:33:11
