City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
203,Yingcheng,CN,2022-07-28 19:44:17,clear sky,30.95,113.55,74.59,94,7,6.04
204,Yuancheng,CN,2022-07-28 19:44:18,broken clouds,36.652,107.7896,67.26,65,52,3.15
205,Buraydah,SA,2022-07-28 19:39:51,overcast clouds,26.326,43.975,99.05,13,98,7.7
206,Karratha,AU,2022-07-28 19:44:18,light rain,-20.7377,116.8463,68.29,63,3,7.07
207,Jacareacanga,BR,2022-07-28 19:44:19,clear sky,-6.2222,-57.7528,97.47,21,6,1.54
208,Ravar,IR,2022-07-28 19:44:19,overcast clouds,31.2656,56.8055,90.09,39,100,2.13
209,Georgetown,MY,2022-07-28 19:44:20,few clouds,5.4112,100.3354,80.89,85,20,4.61
210,Lyndon,US,2022-07-28 19:44:20,scattered clouds,38.2567,-85.6016,90.09,62,40,10.36
211,Shillong,IN,2022-07-28 19:44:21,overcast clouds,25.5689,91.8831,64.13,96,97,2.21
212,Lerwick,GB,2022-07-28 19:44:21,overcast clouds,60.1545,-1.1494,55.4,80,100,9.26
213,Husavik,IS,2022-07-28 19:44:22,scattered clouds,66.0449,-17.3389,52.14,77,25,7.49
214,Aklavik,CA,2022-07-28 19:44:22,overcast clouds,68.2191,-135.0107,50.0,93,100,2.3
215,Bambanglipuro,ID,2022-07-28 19:44:22,broken clouds,-7.95,110.2833,72.57,91,73,1.97
216,Folldal,NO,2022-07-28 19:44:23,broken clouds,62.1325,9.9968,50.52,70,84,3.85
217,Broome,US,2022-07-28 19:44:23,overcast clouds,42.2506,-75.833,83.62,65,100,12.66
218,Cacoal,BR,2022-07-28 19:44:23,scattered clouds,-11.4386,-61.4472,95.86,19,30,4.97
219,Mwinilunga,ZM,2022-07-28 19:44:24,overcast clouds,-11.7358,24.4293,58.95,42,100,4.65
220,Mount Gambier,AU,2022-07-28 19:44:24,mist,-37.8333,140.7667,33.71,100,7,0.0
221,Khatanga,RU,2022-07-28 19:44:24,broken clouds,71.9667,102.5,59.31,69,53,5.06
222,Clyde River,CA,2022-07-28 19:40:50,light rain,70.4692,-68.5914,39.43,100,100,13.8
223,Sinnamary,GF,2022-07-28 19:44:25,broken clouds,5.3833,-52.95,81.0,82,77,8.37
224,Helena,US,2022-07-28 19:42:23,clear sky,46.5927,-112.0361,93.25,30,0,7.0
225,Wenling,CN,2022-07-28 19:44:25,clear sky,28.3669,121.36,76.73,87,0,2.91
226,Todos Santos,MX,2022-07-28 19:44:26,broken clouds,23.45,-110.2167,99.05,80,64,7.47
227,Crib Point,AU,2022-07-28 19:45:26,clear sky,-38.35,145.2,46.89,95,8,13.33
228,Marawi,PH,2022-07-28 19:45:27,overcast clouds,7.9986,124.2928,69.1,92,100,4.7
229,Charcas,MX,2022-07-28 19:45:27,scattered clouds,23.1333,-101.1167,75.33,38,46,15.61
230,Pychas,RU,2022-07-28 19:45:28,overcast clouds,56.5033,52.4409,60.93,79,85,3.38
231,Bilma,NE,2022-07-28 19:45:28,overcast clouds,18.6853,12.9164,95.81,25,100,9.1
232,Kidal,ML,2022-07-28 19:45:28,light rain,18.4411,1.4078,86.13,50,83,18.72
233,Kattivakkam,IN,2022-07-28 19:45:29,overcast clouds,13.2167,80.3167,86.09,84,99,5.17
